group_name,thread_number,cpu_time(us),wait_time(us),exec_time(us)
c_100_m_256,0,66084,99395,165479
c_100_m_256,1,73847,153137,226984
c_100_m_256,2,66931,693973,760904
c_100_m_256,3,66016,515391,581407
c_100_m_256,4,63598,201477,265075
c_100_m_256,5,62963,299287,362250
c_100_m_256,6,67069,589272,656341
c_100_m_256,7,71269,760196,831465
c_100_m_128,8,16523,46793,63316
c_100_m_128,9,16504,205986,222490
c_100_m_128,10,12882,225644,238526
c_100_m_128,11,20513,299609,320122
c_100_m_128,12,12839,15205,28044
c_100_m_128,13,13543,130972,144515
c_100_m_128,14,13154,145986,159140
c_100_m_128,15,14018,255659,269677
c_100_m_64,16,3142,45629,48771
c_100_m_64,17,3172,244322,247494
c_100_m_64,18,3234,399467,402701
c_100_m_64,19,3191,539292,542483
c_100_m_64,20,3149,81022,84171
c_100_m_64,21,7238,359933,367171
c_100_m_64,22,3229,654038,657267
c_100_m_64,23,3283,798726,802009
c_100_m_32,24,825,61009,61834
c_100_m_32,25,819,136370,137189
c_100_m_32,26,831,236252,237083
c_100_m_32,27,817,317659,318476
c_100_m_32,28,1075,25820,26895
c_100_m_32,29,1372,79933,81305
c_100_m_32,30,1490,156995,158485
c_100_m_32,31,1220,207570,208790
c_75_m_256,32,70150,171757,241907
c_75_m_256,33,65717,364252,429969
c_75_m_256,34,66098,400276,466374
c_75_m_256,35,66212,540031,606243
c_75_m_256,36,58455,185723,244178
c_75_m_256,37,67123,364795,431918
c_75_m_256,38,64609,652806,717415
c_75_m_256,39,67442,799592,867034
c_75_m_128,40,20467,96305,116772
c_75_m_128,41,20546,134757,155303
c_75_m_128,42,24940,269902,294842
c_75_m_128,43,16532,316213,332745
c_75_m_128,44,12992,24876,37868
c_75_m_128,45,14666,79408,94074
c_75_m_128,46,13364,191149,204513
c_75_m_128,47,13602,206888,220490
c_75_m_64,48,3163,76760,79923
c_75_m_64,49,3182,248583,251765
c_75_m_64,50,11170,427600,438770
c_75_m_64,51,3157,574367,577524
c_75_m_64,52,3158,104333,107491
c_75_m_64,53,3301,429715,433016
c_75_m_64,54,3211,652596,655807
c_75_m_64,55,3180,824432,827612
c_75_m_32,56,836,75615,76451
c_75_m_32,57,825,153148,153973
c_75_m_32,58,811,247304,248115
c_75_m_32,59,825,330560,331385
c_75_m_32,60,1149,35991,37140
c_75_m_32,61,1180,92284,93464
c_75_m_32,62,1348,167847,169195
c_75_m_32,63,1212,218599,219811
c_50_m_256,64,58081,141711,199792
c_50_m_256,65,70304,322177,392481
c_50_m_256,66,66262,436537,502799
c_50_m_256,67,65997,575288,641285
c_50_m_256,68,76258,866063,942321
c_50_m_256,69,71455,430813,502268
c_50_m_256,70,70884,653623,724507
c_50_m_256,71,66693,825405,892098
c_50_m_128,72,15369,74232,89601
c_50_m_128,73,15982,199713,215695
c_50_m_128,74,16447,245925,262372
c_50_m_128,75,16504,329201,345705
c_50_m_128,76,13217,52308,65525
c_50_m_128,77,13513,120259,133772
c_50_m_128,78,13444,167305,180749
c_50_m_128,79,13990,218021,232011
c_50_m_64,80,3163,100267,103430
c_50_m_64,81,3178,288069,291247
c_50_m_64,82,3174,459572,462746
c_50_m_64,83,7203,599402,606605
c_50_m_64,84,3182,127626,130808
c_50_m_64,85,3176,499945,503121
c_50_m_64,86,11253,710549,721802
c_50_m_64,87,7265,860156,867421
c_50_m_32,88,822,87285,88107
c_50_m_32,89,906,162881,163787
c_50_m_32,90,801,260048,260849
c_50_m_32,91,832,343407,344239
c_50_m_32,92,1113,34840,35953
c_50_m_32,93,1172,98981,100153
c_50_m_32,94,1171,178799,179970
c_50_m_32,95,1187,230054,231241
c_25_m_256,96,80214,636858,717072
c_25_m_256,97,62019,288993,351012
c_25_m_256,98,67181,460526,527707
c_25_m_256,99,63267,604390,667657
c_25_m_256,100,70462,858620,929082
c_25_m_256,101,63026,500964,563990
c_25_m_256,102,67520,719671,787191
c_25_m_256,103,67952,865293,933245
c_25_m_128,104,19027,93136,112163
c_25_m_128,105,12575,161750,174325
c_25_m_128,106,12495,258711,271206
c_25_m_128,107,12475,342072,354547
c_25_m_128,108,13452,34058,47510
c_25_m_128,109,14415,98320,112735
c_25_m_128,110,14442,178210,192652
c_25_m_128,111,14114,249775,263889
c_25_m_64,112,3162,123977,127139
c_25_m_64,113,7210,349200,356410
c_25_m_64,114,3181,496493,499674
c_25_m_64,115,7291,635006,642297
c_25_m_64,116,3131,159845,162976
c_25_m_64,117,11276,562563,573839
c_25_m_64,118,3252,718530,721782
c_25_m_64,119,3244,886271,889515
c_25_m_32,120,819,99563,100382
c_25_m_32,121,824,173185,174009
c_25_m_32,122,820,270036,270856
c_25_m_32,123,822,353509,354331
c_25_m_32,124,1252,46793,48045
c_25_m_32,125,1152,112235,113387
c_25_m_32,126,1261,192197,193458
c_25_m_32,127,1460,239426,240886
